TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Kinetica Partners LLC,17960426,12428,012428-T-S M I 72,1.0,M2,Y,RDQ,R,Y,38527,38527,591,37938,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24012,024012-T- ENLINK LIG GUEYDAN,1.0,MQ,Y,RDQ,D,Y,89422,55000,7882,47117,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10665,010665-T-W D BLK DEHY 2,1.0,M2,Y,RDQ,R,N,141601,141601,1,141601,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14003,014003-T-Hilcorp Homeplace,1.0,M2,Y,RDQ,R,Y,4709,4709,1,4709,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12308,012308-T-S TIM BLK 23,1.0,M2,Y,RDQ,R,Y,61456,61456,1700,59757,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24004,024004-T-SABINE-SW LATERAL,1.0,MQ,Y,RDQ,D,Y,300000,300000,1200,298800,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10599,010599-T-MECOM LAKE WASHINGTON DEHY,1.0,M2,Y,RDQ,R,Y,24901,24901,4750,20151,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12880,012880-T-VR 214 RIP 523M 175,1.0,M2,Y,RDQ,R,N,75000,75000,2763,72237,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11970,011970-T-E I  224A,1.0,M2,Y,RDQ,R,N,122000,122000,0,122000,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,20568,020568-T-VENICE LA TPORT  2,1.0,MQ,Y,RDQ,D,Y,272000,272000,36584,235416,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10516,010516-T-S PASS BLK 24 DEHY,1.0,M2,Y,RDQ,R,Y,19058,19058,50,19008,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12815,012815-T-EGAN A SOUTH,1.0,M2,Y,RDQ,R,N,62000,35000,0,35000,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11692,011692-T-SMI 106A,1.0,M2,Y,RDQ,R,Y,72492,72492,1,72492,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,501310,050131-T-PORT SULPHUR RECEIPT,1.0,M2,Y,RDQ,R,N,0,0,0,0,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10428,010428-T-MP BLK 35 DEHY HALTER ISL,1.0,M2,Y,RDQ,R,Y,19898,19898,474,19424,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12745,012745-T-LITTLE PECAN ISLAND: RIP 507A 118,1.0,M2,Y,RDQ,R,Y,38991,38991,205,38786,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11366,011366-T-VR 245 E,1.0,M2,Y,RDQ,R,N,131465,131465,2000,129465,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,18003,018003-T-Pecan Island Station 600,1.0,M2,Y,RDQ,R,Y,11000,11000,1401,9598,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12650,012650-T-Discovery,1.0,M2,Y,RDQ,R,N,250000,250000,0,250000,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24027,024027-T-TARGA SEAHAWK DELIVERY,1.0,MQ,Y,RDQ,D,N,68507,68507,0,68507,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11182,011182-T-SS 182 C,1.0,M2,Y,RDQ,R,N,29493,29493,235,29258,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14015,014015-T-SMI 58G Dehy,1.0,M2,Y,RDQ,R,Y,87724,87724,4599,83124,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24026,024026-T-HARVEST WHITE LAKE,1.0,MQ,Y,RDQ,D,Y,52459,56468,56468,2,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12644,012644-T-SS BLK 110 A,1.0,M2,Y,RDQ,R,Y,31993,31993,4683,27309,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11180,011180-T-SS 198 H,1.0,M2,Y,RDQ,R,Y,173474,173474,359,173115,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14013,014013-T-SS 169C RIP 523M-2911,1.0,M2,Y,RDQ,R,N,4500,4500,0,4500,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24024,024024-T-SS 193A BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12559,012559-T-W CAM BLK 167 DEEP WATER LINK,1.0,M2,Y,RDQ,R,Y,400000,95000,29401,65601,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10932,010932-T-SS  154 E,1.0,M2,Y,RDQ,R,N,72204,72204,0,72204,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14011,014011-T-SS 182C #2 RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,751,3750,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24020,024020-T-SP 24 Buyback,1.0,MQ,Y,RDQ,D,Y,2500,2500,1350,1150,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12438,012438-T-SNOW WELL,1.0,M2,Y,RDQ,R,Y,21000,21000,150,20850,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10688,010688-T-LAKE RACCOURCI DEHY,1.0,M2,Y,RDQ,R,Y,39193,39193,5725,33468,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14006,014006-T- Miami Corp,1.0,M2,Y,RDQ,R,Y,18000,18000,1700,16301,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24012,024012-T- ENLINK LIG GUEYDAN,1.0,MQ,Y,RDQ,D,Y,89422,55000,7882,47118,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12428,012428-T-S M I 72,1.0,M2,Y,RDQ,R,Y,38527,38527,591,37936,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10665,010665-T-W D BLK DEHY 2,1.0,M2,Y,RDQ,R,N,141601,141601,1,141600,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14003,014003-T-Hilcorp Homeplace,1.0,M2,Y,RDQ,R,Y,4709,4709,1,4708,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12308,012308-T-S TIM BLK 23,1.0,M2,Y,RDQ,R,Y,61456,61456,1700,59757,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24004,024004-T-SABINE-SW LATERAL,1.0,MQ,Y,RDQ,D,Y,300000,300000,1200,298800,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10599,010599-T-MECOM LAKE WASHINGTON DEHY,1.0,M2,Y,RDQ,R,Y,24901,24901,4750,20152,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12880,012880-T-VR 214 RIP 523M 175,1.0,M2,Y,RDQ,R,N,75000,75000,2763,72236,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11970,011970-T-E I  224A,1.0,M2,Y,RDQ,R,N,122000,122000,0,122000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,20568,020568-T-VENICE LA TPORT  2,1.0,MQ,Y,RDQ,D,Y,272000,272000,36584,235416,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10516,010516-T-S PASS BLK 24 DEHY,1.0,M2,Y,RDQ,R,Y,19058,19058,50,19009,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12815,012815-T-EGAN A SOUTH,1.0,M2,Y,RDQ,R,N,62000,35000,0,35000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11692,011692-T-SMI 106A,1.0,M2,Y,RDQ,R,Y,72492,72492,1,72491,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,501310,050131-T-PORT SULPHUR RECEIPT,1.0,M2,Y,RDQ,R,N,0,0,0,0,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10428,010428-T-MP BLK 35 DEHY HALTER ISL,1.0,M2,Y,RDQ,R,Y,19898,19898,474,19424,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12745,012745-T-LITTLE PECAN ISLAND: RIP 507A 118,1.0,M2,Y,RDQ,R,Y,38991,38991,205,38786,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11366,011366-T-VR 245 E,1.0,M2,Y,RDQ,R,N,131465,131465,2000,129465,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,18003,018003-T-Pecan Island Station 600,1.0,M2,Y,RDQ,R,Y,11000,11000,1401,9598,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24027,024027-T-TARGA SEAHAWK DELIVERY,1.0,MQ,Y,RDQ,D,N,68507,68507,0,68507,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12650,012650-T-Discovery,1.0,M2,Y,RDQ,R,N,250000,250000,0,250000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11182,011182-T-SS 182 C,1.0,M2,Y,RDQ,R,N,29493,29493,235,29258,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14015,014015-T-SMI 58G Dehy,1.0,M2,Y,RDQ,R,Y,87724,87724,4599,83125,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24025,024025-T-SS 169C BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,N,4500,4500,0,4500,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12584,012584-T-WCAM BLK 18 ,1.0,M2,Y,RDQ,R,Y,200874,200874,4600,196275,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11069,011069-T-EI 257 D 1,1.0,M2,Y,RDQ,R,N,59082,59082,1,59081,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14012,014012-T-SS 193A RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,2,4497,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24023,024023-T-SS 182C #2 BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12516,012516-T-VENICE INTERCONNECT,1.0,M2,Y,RDQ,R,N,372243,200000,0,200000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10839,010839-T-GI BLK 43 DEHY,1.0,M2,Y,RDQ,R,Y,474578,474578,2211,472367,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14007,014007-T-SMI 71:RIP 523M-135,1.0,M2,Y,RDQ,R,Y,21307,21307,1800,19508,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24016,024016-T-EGAN GAP ARROWHEAD,1.0,MQ,Y,RDQ,D,N,51071,150000,0,150000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12435,012435-T-S M I 76 P,1.0,M2,Y,RDQ,R,Y,362317,362317,11715,350601,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10668,010668-T-GI BLK 47 DEHY,1.0,M2,Y,RDQ,R,Y,63518,63518,601,62917,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14005,014005-T-South Lake Arthur,1.0,M2,Y,RDQ,R,Y,5200,5200,162,5038,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24005,024005-T-Egan A CGT,1.0,MQ,Y,RDQ,D,N,50000,50000,0,50000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12374,012374-T-GRAND ISLE DEHY 1,1.0,M2,Y,RDQ,R,N,181699,181699,1,181698,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10641,010641-T-LAPEYROUSE PLANT DEHY,1.0,M2,Y,RDQ,R,Y,39510,39510,125,39385,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12881,012881-T-VR 229A,1.0,M2,Y,RDQ,R,Y,75000,75000,9650,65349,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12289,012289-T-SS 45,1.0,M2,Y,RDQ,R,Y,29616,29616,1,29615,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,21032,021032-T-Discovery,1.0,MQ,Y,RDQ,D,Y,290000,289452,20407,269046,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10578,010578-T-WC BLK 20 DEHY,1.0,M2,Y,RDQ,R,Y,100283,100283,275,100008,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12838,012838-T-E I 224 G: RIP 523M 8101,1.0,M2,Y,RDQ,R,Y,44485,44485,1900,42585,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11802,011802-T-SS 198 J,1.0,M2,Y,RDQ,R,Y,109110,109110,3,109106,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,20554,020554-T-LIRETTE TPORT,1.0,MQ,Y,RDQ,D,Y,97593,81000,23329,57669,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10442,010442-T-TIMBALIER BAY DEHY,1.0,M2,Y,RDQ,R,Y,64530,64530,50,64481,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12812,012812-T-LONGHORN MEDUSA SP 55A: RIP 527A 2001,1.0,M2,Y,RDQ,R,Y,223450,223450,5135,218314,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11691,011691-T-SS 181 B,1.0,M2,Y,RDQ,R,N,61657,61657,5556,56100,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,18036,018036-T-SMI 99,1.0,M2,Y,RDQ,R,N,92192,92192,3811,88381,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,50130,050130-T-PORT SULPHUR FLASH DEL,1.0,MQ,Y,RDQ,D,N,2000,2000,0,2000,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10210,010210-T-GRAND CHENIER DEHY,1.0,M2,Y,RDQ,R,Y,25828,25828,50,25779,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12714,012714-T-LAKE WASHINGTON SL 212,1.0,M2,Y,RDQ,R,Y,48565,48565,4430,44135,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11210,011210-T-SMI  27 A,1.0,M2,Y,RDQ,R,Y,35821,35821,7000,28821,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14017,014017-T-VR 78,1.0,M2,Y,RDQ,R,Y,6000,6000,2982,3018,07/15/2022 02:00:00 PM,Intraday 1,07/15/2022 12:36:43 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24027,024027-T-TARGA SEAHAWK DELIVERY,1.0,MQ,Y,RDQ,D,N,68507,68507,0,68507,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12650,012650-T-Discovery,1.0,M2,Y,RDQ,R,N,250000,250000,0,250000,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14015,014015-T-SMI 58G Dehy,1.0,M2,Y,RDQ,R,Y,87724,87724,4599,83125,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11182,011182-T-SS 182 C,1.0,M2,Y,RDQ,R,N,29493,29493,235,29258,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24025,024025-T-SS 169C BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,N,4500,4500,0,4500,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12584,012584-T-WCAM BLK 18 ,1.0,M2,Y,RDQ,R,Y,200874,200874,4600,196274,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11069,011069-T-EI 257 D 1,1.0,M2,Y,RDQ,R,N,59082,59082,1,59081,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14012,014012-T-SS 193A RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,2,4498,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24023,024023-T-SS 182C #2 BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12516,012516-T-VENICE INTERCONNECT,1.0,M2,Y,RDQ,R,N,372243,200000,0,200000,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10839,010839-T-GI BLK 43 DEHY,1.0,M2,Y,RDQ,R,Y,474578,474578,2211,472367,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14007,014007-T-SMI 71:RIP 523M-135,1.0,M2,Y,RDQ,R,Y,21307,21307,1800,19507,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24016,024016-T-EGAN GAP ARROWHEAD,1.0,MQ,Y,RDQ,D,N,51071,150000,0,150000,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12435,012435-T-S M I 76 P,1.0,M2,Y,RDQ,R,Y,362317,362317,11715,350602,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10668,010668-T-GI BLK 47 DEHY,1.0,M2,Y,RDQ,R,Y,63518,63518,601,62917,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14005,014005-T-South Lake Arthur,1.0,M2,Y,RDQ,R,Y,5200,5200,162,5038,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24005,024005-T-Egan A CGT,1.0,MQ,Y,RDQ,D,N,50000,50000,0,50000,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12374,012374-T-GRAND ISLE DEHY 1,1.0,M2,Y,RDQ,R,N,181699,181699,1,181698,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10641,010641-T-LAPEYROUSE PLANT DEHY,1.0,M2,Y,RDQ,R,Y,39510,39510,125,39385,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12881,012881-T-VR 229A,1.0,M2,Y,RDQ,R,Y,75000,75000,9650,65350,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,21032,021032-T-Discovery,1.0,MQ,Y,RDQ,D,Y,290000,289452,20407,269045,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12289,012289-T-SS 45,1.0,M2,Y,RDQ,R,Y,29616,29616,1,29615,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10578,010578-T-WC BLK 20 DEHY,1.0,M2,Y,RDQ,R,Y,100283,100283,275,100008,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12838,012838-T-E I 224 G: RIP 523M 8101,1.0,M2,Y,RDQ,R,Y,44485,44485,1900,42585,07/15/2022 09:00:00 AM,Evening,07/14/2022 08:11:10 PM,Million BTUs (DTH),14.73 psia
